,cctv 개수,total,경사도1,광로개수,구별 장애인 명수,대로,버스정류장 개수,불량산책로,소로,역갯수,주민자치단체개수,중로
96,2,24.0,0.0,0,28727,0,10,0,23,0,0,50
97,1,83.0,17.6764946,0,20286,1,5,0,1,0,0,0
98,1,29.0,4.763641834,1,12353,0,3,0,4,0,0,0
99,0,43.0,1.687604904,0,20286,4,6,0,10,0,1,5
100,2,60.0,12.95884228,0,12353,1,4,0,7,0,2,0
101,3,55.0,0.0,0,15436,2,12,1,15,0,2,1
102,3,0.0,0.0,0,18307,2,18,0,12,0,1,8
103,2,41.0,0.0,0,18307,2,16,0,14,0,1,10
104,2,41.0,0.0,0,18307,2,16,0,14,0,1,10
105,8,238.0,13.65578461,1,20265,0,10,0,2,1,2,1
106,6,132.0,6.063765049,0,17441,1,7,0,18,0,1,3
107,4,79.0,3.769243717,1,14539,1,4,0,0,0,0,1
108,1,95.0,7.506142139,1,11390,3,7,0,3,0,1,1
109,2,0.0,25.45378685,2,12951,2,11,0,13,0,1,3
